,BHK,SQUARE_FT,READY_TO_MOVE,PRICE,City
213,2,1000.0,1,16.5,Anand
214,2,1063.201418,1,18.0,Anand
215,2,872.6327516,1,23.5,Anand
216,3,1850.481125,1,50.0,Anand
218,3,1199.862873,1,35.0,Anand
219,2,1025.290499,1,30.0,Anand
221,1,611.6207951,1,4.0,Anand
222,1,500.0,1,10.5,Anand
223,2,2250.984806,1,40.0,Anand
224,2,900.2770083,1,26.0,Anand
225,1,870.3590992,1,14.3,Anand
226,3,1325.255585,1,35.0,Anand
228,2,1100.0,1,22.0,Asansol
229,2,866.6666667,1,16.9,Asansol
230,2,1014.292301,1,22.0,Asansol
231,2,982.9787234,1,23.1,Asansol
232,1,510.2040816,1,12.5,Asansol
233,2,1150.234742,1,24.5,Asansol
234,2,884.0,1,22.1,Asansol
235,2,1060.204468,1,28.0,Asansol
236,2,950.0,0,19.0,Asansol
237,3,1125.054089,1,26.0,Asansol
238,2,1010.0,0,20.2,Asansol
239,3,1699.497876,1,44.0,Asansol
240,2,1100.296234,1,26.0,Asansol
242,2,900.0,1,23.4,Asansol
243,3,1279.166667,1,30.7,Asansol
244,3,1100.244499,1,27.0,Asansol
245,2,915.7368219,1,23.8,Asansol
247,2,850.2598016,1,18.0,Asansol
248,2,736.0157017,1,15.0,Asansol
249,2,860.3031544,1,21.0,Asansol
251,2,1066.295781,1,23.0,Asansol
253,3,1270.289344,1,36.0,Asansol
254,2,856.5834557,1,17.5,Asansol
255,2,1087.5,1,26.1,Asansol
256,1,590.9213,1,22.0,Aurangabad
257,1,535.0772889,1,18.0,Aurangabad
258,2,1048.218029,1,50.0,Aurangabad
259,2,735.1077313,1,29.0,Aurangabad
260,1,650.1422186,1,16.0,Aurangabad
261,2,600.0,1,21.0,Aurangabad
262,1,350.0583431,1,12.0,Aurangabad
264,2,1000.0,1,35.0,Aurangabad
265,1,519.1434134,1,16.0,Aurangabad
267,1,592.1052632,1,18.0,Aurangabad
270,1,652.173913,1,19.8,Aurangabad
272,1,538.1035486,1,18.5,Aurangabad
275,2,800.0,1,28.0,Aurangabad
276,1,569.1519636,1,20.0,Aurangabad
277,2,1350.135014,1,45.0,Aurangabad
279,1,550.0,1,22.0,Aurangabad
280,2,645.7785219,1,27.0,Aurangabad
281,1,729.9270073,1,30.0,Aurangabad
282,2,1160.337553,1,38.5,Aurangabad
283,1,760.0,0,19.0,Aurangabad
284,1,600.0,1,18.0,Aurangabad
285,1,580.0214823,1,27.0,Aurangabad
286,1,600.0857265,1,14.0,Aurangabad
287,2,1089.028042,1,40.0,Aurangabad
289,2,935.1432881,1,31.0,Aurangabad
290,2,759.9901937,1,31.0,Aurangabad
291,2,1089.054315,1,39.5,Aurangabad
292,1,600.0857265,1,14.0,Aurangabad
293,2,840.1008121,1,30.0,Aurangabad
294,2,824.9312557,1,27.0,Aurangabad
295,2,734.8784624,1,26.0,Aurangabad
297,3,1200.120012,1,40.0,Aurangabad
299,3,1500.0,1,51.0,Bahadurgarh
300,3,1225.061253,1,35.0,Bahadurgarh
301,1,584.0191134,1,22.0,Bahadurgarh
302,2,1164.835165,1,26.5,Bahadurgarh
304,2,1338.475499,1,29.5,Bahadurgarh
305,2,929.9622203,1,32.0,Bahadurgarh
306,3,1794.392523,1,48.0,Bahadurgarh
307,2,1250.0,1,35.0,Bahadurgarh
310,2,1338.055884,1,34.0,Bahadurgarh
311,1,594.1213258,1,19.0,Bahadurgarh
312,2,1335.137573,1,29.6,Bahadurgarh
313,1,635.1039261,1,16.5,Bahadurgarh
315,2,1338.055884,1,34.0,Bahadurgarh
316,2,1165.331391,1,32.0,Bahadurgarh
317,1,635.1726876,1,16.0,Bahadurgarh
318,3,1795.063575,1,48.0,Bahadurgarh
319,1,536.0333532,1,18.0,Bahadurgarh
321,2,1338.51468,1,31.0,Bahadurgarh
323,2,1214.045573,1,32.5,Bahadurgarh
324,3,1795.039164,1,55.0,Bahadurgarh
325,4,2900.763359,0,95.0,Bahadurgarh
326,2,1110.274746,1,29.5,Bahadurgarh
327,2,1165.181631,1,34.0,Bahadurgarh
329,2,1165.113182,1,35.0,Bahadurgarh
330,3,1550.120565,1,45.0,Bahadurgarh
331,3,1795.392954,1,53.0,Bahadurgarh
336,2,1333.010179,1,110.0,Bangalore
338,3,2124.896706,0,180.0,Bangalore
340,3,1300.052002,1,75.0,Bangalore
341,2,1049.969344,1,68.5,Bangalore
343,4,2260.251857,1,140.0,Bangalore
346,2,1115.137998,1,80.0,Bangalore
350,3,1513.775356,1,100.0,Bangalore
351,3,1800.072003,1,150.0,Bangalore
353,2,1318.044023,1,100.0,Bangalore
354,2,1180.173092,1,75.0,Bangalore
355,2,900.0163639,1,55.0,Bangalore
358,2,1301.89498,0,90.0,Bangalore
359,3,1415.09434,1,79.5,Bangalore
366,5,5299.954894,1,470.0,Bangalore
368,3,1657.275439,1,100.0,Bangalore
371,3,1400.059577,1,94.0,Bangalore
372,3,1350.063532,1,85.0,Bangalore
374,4,4578.507945,1,340.0,Bangalore
375,3,1393.214227,1,85.0,Bangalore
377,1,1060.147122,1,49.0,Bangalore
378,3,1902.843071,1,170.0,Bangalore
380,2,1288.102262,1,78.6,Bangalore
384,3,1289.872756,1,74.0,Bangalore
385,3,1510.159253,1,110.0,Bangalore
390,2,1166.039111,1,96.0,Bangalore
392,4,3810.431055,0,320.0,Bangalore
395,3,1635.055592,1,100.0,Bangalore
398,3,1510.989011,0,110.0,Bangalore
399,1,628.9308176,0,37.0,Bangalore
400,3,1518.151815,1,92.0,Bangalore
401,3,1370.07874,0,87.0,Bangalore
402,3,1930.235765,1,140.0,Bangalore
406,3,1326.963907,1,75.0,Bangalore
407,3,1505.011565,1,97.6,Bangalore
410,2,1165.13904,1,75.0,Bangalore
412,4,3750.161645,1,290.0,Bangalore
413,3,1767.352185,0,110.0,Bangalore
417,4,4095.252541,1,270.0,Bangalore
419,1,617.9671647,0,33.5,Bangalore
420,2,1085.169352,1,66.0,Bangalore
424,3,1305.142261,1,100.0,Bangalore
425,3,1574.590606,1,87.5,Bangalore
426,3,1482.030382,1,120.0,Bangalore
430,3,1404.180629,1,88.0,Bangalore
432,3,1364.15853,1,95.0,Bangalore
434,1,645.9770115,1,28.1,Bangalore
435,3,1527.183873,1,100.0,Bangalore
436,3,2060.641743,1,140.0,Bangalore
437,2,1199.887069,1,85.0,Bangalore
438,3,2155.94682,1,180.0,Bangalore
439,3,1406.110188,1,110.0,Bangalore
442,3,1401.206101,1,79.0,Bangalore
443,3,1680.244399,1,99.0,Bangalore
445,3,1773.049645,1,110.0,Bangalore
446,2,1218.701529,1,110.0,Bangalore
449,2,899.8691099,0,55.0,Bangalore
450,2,1173.062998,0,81.0,Bangalore
452,3,1764.446405,0,160.0,Bangalore
453,2,1242.043161,1,80.0,Bangalore
454,3,1844.28929,1,140.0,Bangalore
455,3,1654.575538,1,130.0,Bangalore
456,2,1256.862179,0,87.0,Bangalore
457,2,1199.878493,1,79.0,Bangalore
459,2,1090.074584,1,76.0,Bangalore
460,3,1467.13615,0,100.0,Bangalore
461,2,1232.006225,1,95.0,Bangalore
463,1,525.0596659,1,22.0,Bangalore
464,2,1125.082727,1,85.0,Bangalore
465,1,674.9401263,1,31.0,Bangalore
466,3,1492.537313,0,100.0,Bangalore
468,2,1200.063161,1,76.0,Bangalore
470,2,1146.025878,1,93.0,Bangalore
471,2,1305.109024,1,82.0,Bangalore
472,2,1267.123288,1,92.5,Bangalore
473,3,1552.238806,1,130.0,Bangalore
474,3,1232.126559,0,81.0,Bangalore
482,3,1465.076661,1,86.0,Bangalore
485,3,1669.216859,1,120.0,Bangalore
487,4,3850.641774,1,330.0,Bangalore
489,2,1370.071548,1,90.0,Bangalore
490,3,1778.629087,1,130.0,Bangalore
492,4,2107.873528,1,170.0,Bangalore
495,4,1693.070504,1,140.0,Bangalore
499,4,2616.170425,1,210.0,Bangalore
505,3,1941.457587,0,130.0,Bangalore
506,2,1150.180743,1,70.0,Bangalore
507,3,1235.203294,1,72.0,Bangalore
508,3,1300.052002,1,100.0,Bangalore
511,1,650.0,1,52.0,Bangalore
514,3,1627.441162,1,130.0,Bangalore
515,3,1510.211086,1,88.0,Bangalore
516,3,1810.10367,1,110.0,Bangalore
517,4,3398.172018,1,290.0,Bangalore
518,3,1500.068185,1,110.0,Bangalore
521,3,1862.486419,1,120.0,Bangalore
524,3,1607.205934,1,91.0,Bangalore
525,2,1139.860937,1,100.0,Bangalore
526,3,1948.051948,1,150.0,Bangalore
527,2,1067.362429,0,67.5,Bangalore
528,1,635.5263158,0,48.3,Bangalore
532,2,1200.0,1,75.0,Bangalore
533,2,1250.0,1,87.0,Bangalore
535,3,1898.493862,1,150.0,Bangalore
537,3,1500.150015,1,100.0,Bangalore
538,1,675.9366551,0,35.0,Bangalore
539,3,1509.718499,1,90.1,Bangalore
540,3,2620.485359,1,230.0,Bangalore
543,2,1225.490196,1,100.0,Bangalore
544,4,4800.0,1,390.0,Bangalore
546,3,1760.0,1,110.0,Bangalore
552,4,2738.89227,1,180.0,Bangalore
553,3,2047.315742,0,180.0,Bangalore
555,4,3632.589517,1,280.0,Bangalore
558,2,1281.14881,1,91.0,Bangalore
559,2,1270.173341,1,85.0,Bangalore
561,2,1530.389156,1,140.0,Bangalore
567,3,1651.527663,1,140.0,Bangalore
568,3,1879.951658,0,140.0,Bangalore
570,3,1569.037657,1,120.0,Bangalore
572,4,2269.825507,1,160.0,Bangalore
574,3,1489.909251,0,110.0,Bangalore
575,1,739.9577167,1,35.0,Bangalore
576,2,1173.862006,1,90.0,Bangalore
577,3,1760.057471,1,98.0,Bangalore
579,2,1215.848949,1,85.0,Bangalore
584,4,3840.0,1,240.0,Bangalore
588,2,1152.073733,1,70.0,Bangalore
589,3,1500.0,1,90.0,Bangalore
591,2,1202.722157,0,91.9,Bangalore
594,3,1694.915254,0,130.0,Bangalore
596,3,1472.75405,1,100.0,Bangalore
601,4,3004.085556,1,250.0,Bangalore
604,2,1096.774194,0,79.9,Bangalore
605,3,1495.016611,1,90.0,Bangalore
606,3,2050.149819,1,130.0,Bangalore
608,4,3559.592488,1,290.0,Bangalore
611,2,680.0518135,1,42.0,Bangalore
612,2,1200.0,1,90.0,Bangalore
614,3,1934.547799,1,120.0,Bangalore
616,3,1372.055797,1,120.0,Bangalore
618,4,3262.158956,1,220.0,Bangalore
619,2,1265.022138,1,80.0,Bangalore
620,2,1600.0,1,100.0,Bangalore
621,1,884.1407257,1,48.0,Bangalore
625,3,1448.131443,0,89.9,Bangalore
629,3,1616.062684,1,99.0,Bangalore
631,2,1100.025582,1,86.0,Bangalore
638,1,613.0268199,0,56.0,Bangalore
639,2,1235.087719,0,88.0,Bangalore
642,2,1139.864449,1,74.0,Bangalore
644,3,1523.925632,1,100.0,Bangalore
650,2,1359.084406,1,95.0,Bangalore
651,3,1157.050293,1,75.0,Bangalore
654,3,2375.0,1,190.0,Bangalore
656,2,1435.03698,1,130.0,Bangalore
658,3,1500.176491,1,85.0,Bangalore
661,1,644.0382942,0,37.0,Bangalore
663,3,2004.454343,1,180.0,Bangalore
666,2,1180.132279,1,91.0,Bangalore
667,2,1100.060277,1,73.0,Bangalore
669,3,1562.757032,1,95.0,Bangalore
670,4,2710.0271,0,250.0,Bangalore
672,3,2115.003305,1,160.0,Bangalore
673,3,2080.0,1,130.0,Bangalore
674,4,2170.20617,1,140.0,Bangalore
675,3,1682.894579,1,140.0,Bangalore
676,3,1521.1439,1,100.0,Bangalore
677,2,1040.066186,1,88.0,Bangalore
679,3,1945.272987,1,150.0,Bangalore
680,3,1389.813582,1,83.5,Bangalore
681,3,1805.555556,1,130.0,Bangalore
682,2,1215.361446,1,80.7,Bangalore
683,3,1866.832607,1,150.0,Bangalore
684,3,1803.801859,1,130.0,Bangalore
685,3,1569.858713,0,120.0,Bangalore
687,2,1275.016139,1,79.0,Bangalore
689,8,2720.0,1,170.0,Bangalore
691,3,1776.649746,1,140.0,Bangalore
692,3,1404.918033,1,85.7,Bangalore
693,2,1010.10101,1,68.0,Bangalore
695,3,2000.0,1,130.0,Bangalore
696,3,2040.081603,1,170.0,Bangalore
698,4,2596.728123,1,200.0,Bangalore
700,2,1235.177866,1,100.0,Bangalore
701,2,1012.011245,1,79.2,Bangalore
703,2,1274.141631,0,95.0,Bangalore
705,3,1350.98622,0,100.0,Bangalore
706,2,1507.348323,1,120.0,Bangalore
712,3,1550.169109,1,110.0,Bangalore
714,2,1150.049358,0,69.9,Bangalore
716,3,1700.013077,1,130.0,Bangalore
720,2,1216.10288,1,87.0,Bangalore
726,3,3371.165299,1,300.0,Bangalore
727,3,1225.899922,1,110.0,Bangalore
731,3,1724.732666,1,100.0,Bangalore
733,3,1780.223337,1,110.0,Bangalore
735,2,1508.750754,1,100.0,Bangalore
736,3,1460.230201,1,85.0,Bangalore
739,3,1665.04787,1,120.0,Bangalore
742,2,1499.842122,1,95.0,Bangalore
743,3,1569.037657,1,120.0,Bangalore
744,2,1057.942708,0,65.0,Bangalore
747,3,1607.012418,1,110.0,Bangalore
756,2,1165.161666,1,80.0,Bangalore
757,3,1934.576152,1,110.0,Bangalore
759,2,1390.047262,1,100.0,Bangalore
760,3,1992.882562,1,140.0,Bangalore
761,2,1060.022026,1,77.0,Bangalore
764,3,1655.130906,1,110.0,Bangalore
767,2,1058.076652,1,90.0,Bangalore
770,3,1420.454545,1,110.0,Bangalore
771,3,2502.944641,1,170.0,Bangalore
773,3,1591.187271,1,130.0,Bangalore
774,2,1098.018211,1,82.0,Bangalore
779,3,1619.753919,1,96.1,Bangalore
780,2,1198.156682,1,78.0,Bangalore
782,2,1230.091933,1,95.0,Bangalore
783,2,1250.0,1,90.0,Bangalore
784,2,1190.098381,1,75.0,Bangalore
785,4,2695.035461,1,190.0,Bangalore
786,2,1420.252805,1,100.0,Bangalore
788,2,1070.009172,1,70.0,Bangalore
790,1,615.0061501,1,55.0,Bangalore
793,2,1231.098622,0,92.0,Bangalore
794,2,1125.0,1,72.0,Bangalore
795,2,1175.05675,1,88.0,Bangalore
797,4,3386.268099,1,290.0,Bangalore
798,3,1751.532591,1,140.0,Bangalore
800,3,1100.0,1,66.0,Bangalore
801,3,1301.929222,1,110.0,Bangalore
802,3,1477.759716,0,100.0,Bangalore
803,3,1111.111111,1,75.0,Bangalore
804,2,1120.071685,1,75.0,Bangalore
805,3,1777.777778,1,160.0,Bangalore
806,3,1655.130906,1,110.0,Bangalore
809,3,1636.0601,1,98.0,Bangalore
810,3,1749.883341,0,150.0,Bangalore
813,3,1508.12065,1,130.0,Bangalore
815,3,2008.320184,1,140.0,Bangalore
817,4,4000.0,1,350.0,Bangalore
819,3,2530.730296,1,210.0,Bangalore
822,4,2191.113816,1,180.0,Bangalore
824,4,2026.184539,1,130.0,Bangalore
825,3,1436.053387,1,85.0,Bangalore
828,3,1499.250375,0,130.0,Bangalore
830,2,1209.904333,1,86.0,Bangalore
834,2,1230.555983,1,79.9,Bangalore
835,3,2430.274274,1,210.0,Bangalore
845,5,4133.333333,1,310.0,Bangalore
846,2,1185.067514,1,74.6,Bangalore
849,2,904.9773756,1,60.0,Bangalore
850,3,1507.055761,1,110.0,Bangalore
856,3,1260.040951,1,80.0,Bangalore
860,4,2944.840865,0,260.0,Bangalore
862,1,678.070581,0,44.0,Bangalore
863,3,1478.785121,1,130.0,Bangalore
864,2,1158.940397,1,70.0,Bangalore
867,4,2919.152177,1,230.0,Bangalore
868,2,1050.105011,1,70.0,Bangalore
869,3,1900.078239,1,170.0,Bangalore
873,3,1610.089897,1,120.0,Bangalore
875,2,1055.926544,1,75.9,Bangalore
878,3,1607.012418,1,110.0,Bangalore
879,3,1583.531275,1,100.0,Bangalore
881,2,1145.038168,1,75.0,Bangalore
883,4,3750.375038,1,250.0,Bangalore
885,3,1805.054152,1,150.0,Bangalore
888,1,690.0750964,1,34.0,Bangalore
890,3,1400.115473,1,97.0,Bangalore
894,3,2078.669651,1,130.0,Bangalore
896,2,1275.022313,1,100.0,Bangalore
897,3,2635.277583,1,150.0,Bangalore
898,3,1786.112972,1,160.0,Bangalore
901,2,1015.02233,1,75.0,Bangalore
902,2,1341.184167,1,82.0,Bangalore
903,3,2049.780381,1,140.0,Bangalore
904,3,1260.126013,1,84.0,Bangalore
906,3,2739.726027,1,240.0,Bangalore
907,1,800.0,1,30.0,Bangalore
908,3,1896.034129,1,120.0,Bangalore
910,3,1330.008313,0,80.0,Bangalore
913,1,580.0464037,1,45.0,Bangalore
915,2,1204.013378,1,90.0,Bangalore
916,2,953.0201342,1,71.0,Bangalore
919,2,1444.154248,1,94.0,Bangalore
920,3,1535.240754,1,88.0,Bangalore
928,3,1660.126773,1,110.0,Bangalore
929,3,1842.04467,1,160.0,Bangalore
932,3,1909.059354,1,110.0,Bangalore
934,3,2072.109407,1,150.0,Bangalore
935,3,1255.082199,1,71.0,Bangalore
937,2,907.0294785,1,56.0,Bangalore
939,2,925.0035577,1,65.0,Bangalore
940,3,1369.863014,1,100.0,Bangalore
941,3,1729.559748,1,110.0,Bangalore
942,3,1692.047377,1,120.0,Bangalore
943,4,2633.311389,0,240.0,Bangalore
945,3,1533.742331,1,100.0,Bangalore
946,3,1645.244216,1,96.0,Bangalore
949,3,1229.105211,1,100.0,Bangalore
951,3,1603.114623,1,140.0,Bangalore
953,4,2626.123013,1,190.0,Bangalore
954,3,2127.659574,1,160.0,Bangalore
956,3,157166.6667,0,9430.0,Bangalore
959,1,444.9248976,1,39.1,Bangalore
960,3,2296.819788,1,130.0,Bangalore
961,3,1774.986346,1,130.0,Bangalore
964,3,1830.282862,1,110.0,Bangalore
965,3,1562.22878,1,90.0,Bangalore
969,3,1627.615811,1,91.0,Bangalore
970,4,3109.61389,1,240.0,Bangalore
971,3,922.0231823,1,70.0,Bangalore
976,3,1578.418711,1,110.0,Bangalore
978,3,1871.834398,1,170.0,Bangalore
979,3,1545.962659,0,130.0,Bangalore
981,2,905.0518348,1,55.0,Bangalore
982,3,1525.87044,1,110.0,Bangalore
984,3,1672.427249,1,150.0,Bangalore
986,2,1265.041654,1,82.0,Bangalore
987,1,530.0599805,1,38.0,Bangalore
990,3,1480.062685,1,85.0,Bangalore
991,2,1149.758454,1,71.4,Bangalore
995,2,1170.00117,1,100.0,Bangalore
996,3,1280.181494,1,79.0,Bangalore
997,3,1786.004221,1,110.0,Bangalore
998,3,1965.090741,1,170.0,Bangalore
1000,2,1330.203443,1,85.0,Bangalore
1005,2,1000.0,1,62.0,Bangalore
1007,1,798.490566,0,52.9,Bangalore
1009,3,1594.048884,1,120.0,Bangalore
1010,3,1557.147306,1,100.0,Bangalore
1011,4,2710.0271,0,230.0,Bangalore
1013,2,1073.105298,1,80.0,Bangalore
1014,1,610.0660905,1,36.0,Bangalore
1015,2,1299.038711,1,100.0,Bangalore
1016,3,1907.112407,1,170.0,Bangalore
1018,4,3899.946208,1,290.0,Bangalore
1022,3,1805.869074,1,120.0,Bangalore
1032,3,1721.170396,1,120.0,Bangalore
1033,3,1650.165017,1,110.0,Bangalore
1035,2,1210.067764,1,75.0,Bangalore
1036,3,1800.072003,1,150.0,Bangalore
1038,1,661.0729723,1,52.0,Bangalore
1042,2,1184.963225,1,87.0,Bangalore
1044,3,1500.0,1,84.0,Bangalore
1045,3,2017.693621,0,130.0,Bangalore
1047,2,1277.955272,1,80.0,Bangalore
1051,3,1430.86582,1,98.0,Bangalore
1052,3,1545.217957,1,95.0,Bangalore
1053,3,1650.165017,1,95.0,Bangalore
1055,2,1269.983565,1,85.0,Bangalore
1058,3,1678.086981,1,120.0,Bangalore
1059,2,1088.065844,1,66.1,Bangalore
1060,3,2278.820375,1,170.0,Bangalore
1062,3,2933.333333,1,220.0,Bangalore
1064,4,2422.089456,1,150.0,Bangalore
1065,3,1726.573536,0,110.0,Bangalore
1066,2,1250.0,1,88.0,Bangalore
1068,3,148939.7228,0,8920.0,Bangalore
1071,2,1207.000604,0,100.0,Bangalore
1072,2,1100.0,1,88.0,Bangalore
1079,3,1595.179015,1,90.0,Bangalore
